Regen_Plot,Exclude,NOTES
AMR1300014,,BAF 5
AMR1300022,,
AMR1300030,,LOOK UNBURNED
AMR1300032,,
AMR1300034,,A FEW STUMPS PRESENT OUTSIDE PLOT- SALVAGE LOGGING
AMR1300052,,"SMALL STUMPS OUTSIDE PLOT IS WHY THERE ARE NO SNAGS, AND BUMPS UP THE CWD COVER."
AMR1300054,,BAF 5
AMR1300056,,
AMR1300069,,BAF 10
AMR1300080,m,"BAF 10, SALVAGE LOGGING, PLOT APPEARS UNBURNED"
AMR1300087,m,"BAF 10. SALVAGE LOGGING, STUMP IN PLOT. APPEARS UNBURNED."
AMR1300091,,BAF 10 APPEARS UNBUNED
AMR1300093,m,"BAF 10, APPEARS UNBURNED, MANAGED AREA"
AMR1300094,m,"BAF 5.  STUMPS IN STAND, MANAGED AREA. APPEARS UNBURNED"
AMR1300095,m,"BAF 10. SALVAGE LOGGING, APPEARS UNBURNED"
AMR1300096,,BAF 40. APPEARS UNBURNED
AMR1300105,,BAF 5. APPEARS UNBURNED
AMR1300106,,
AMR1300113,m,SALVAGE LOGGING IN STAND
AMR1300114,m,BAF 10. SALVAGE LOGGING
AMR1300118,,BAF 40. BITTER DOGSBANE IS MAIN FORB.
AMR1300123,,BAF 5
AMR1300124,,BAF 5
AMR1300134,,BAF 40
AMR1300135,,BAF 40.
AMR1300136,,BAF 40
AMR1300142,,BAF 5
AMR1300143,,
AMR1300151,,BAF 40
AMR1300152,,BAF 40
AMR1300156,m,BAF 5. SALVAGE LOGGING
AMR1300160,,BAF 10
AMR1300161,,
AMR1300167,m,"BAF 40.  MANAGED AREA, CEANOTHUS HAS BEEN CUT, BARE GROUND MAY BE DUE TO MANAGEMENT."
AMR1300168,,BAF 40
AMR1300170,,BAF 40
AMR1300171,,BAF 10
AMR1300175,,BAF 5
AMR1300176,,
AMR1300177,,BAF 10
AMR1300178,,BAF 40
AMR1300192,,
AMR1300193,,BAF 5
AMR1300194,,
AMR1300195,,BAF 40
AMR1300196,,BAF 40
AMR1300204,,BAF 40
AMR1300205,,
AMR1300206,m,"BAF 5. MAY BE PLANTED/ MANAGED, SNAGS REMOVED.  SOME SEEDLINGS NEEDLES HAVE TURNED BROWN AS IF FROM GLYPHOSATE DAMAGE."
AMR1300209,,BAF 5
AMR1300222,m,"BAF 5. NEAR A ROAD, MANAGED AREA."
AMR1300235,,BAF 10
AMR1300236,,BA NR
AMR1300247,,
AMR1300253,,
AMR1300255,m,"HIGHLY MANAGED, SALVAGE LOGGING: STUMPS EVERYWHERE"
AMR1300260,,
AMR1300264,,BAF 10
AMR1300268,,
AMR1300269,,
AMR1300270,,
AMR1300271,,BAF 40
AMR1300310,,
AMR1300311,,
AMR1300312,,
AMR1300313,,BAF 5
AMR1300314,,BAF 10
AMR1300315,,
AMR1300352,,
AMR1300377,,BAF 40
AMR1300378,m,BAF 40. A STREAM RUNS THROUGH THE PLOT.
AMR1300379,m,BAF 5. 2 LARGE STUMPS JUST OUTSIDE PLOT.
AMR1300387,,BAF 10. BETWEEN 5 ROADS.
AMR1300388,m,"MANAGED AREA, STUMPS."
AMR1300391,,BAF 40
AMR1300392,,BAF 10
AMR1300396,,
AMR1300398,,BAF 40
AMR1300399,m,"AREA LOOKS LIKE SOIL HAS BEEN TILLED. MAY HAVE BEEN CLEAR CUT, BUT NO STUMPS OR SNAGS."
AMR1300404,,"MISSING SNAGS, HOLES WHERE THEY WOULD BE."
AMR1300408,,
AMR1300412,,
AMR1300414,,
AMR1300423,,
AMR1300429,,
AMR1300430,,BAF 5
AMR1300431,,BAF 40
AMR1300432,,BAF 40
AMR1300434,,BAF 40
AMR1300435,,
AMR1300438,,APPEARS UNBURNED
AMR1300440,,
AMR1300441,,
AMR1300442,,BAF 40
AMR1300443,,
AMR1300444,,BAF 40
AMR1300445,,
AMR1300446,,BAF 5
AMR1300447,,BAF 40
AMR1300559,,CONTROL. BAF 40
AMR1300576,,CONTROL
AMR1300590,,CONTROL. BAF 40
AMR1300611,,CONTROL
AMR1300638,,CONTROL
AMR1300643,,CONTROL
AMR1300668,,CONTOL. BAF 5
AMR1300685,,CONTROL. BAF 10
AMR1300686,,CONTROL. BAF 5
AMR1300689,,CONTROL
ANT1200086,,CONTROL
ANT1200087,,CONTROL
ANT1200092,,"CONTROL, BAF 10"
ANT1200094,,"CONTRL, BAF 10"
ANT1200097,,"CONTROL, BAF 5"
ANT1200098,,CONTROL
ANT1200110,,"CONTROL,"
ANT1200119,,CONTROL
ANT1200138,,CONTROL
ANT1200145,,CONTROL
ANT1200166,,
ANT1200191,,BAF 10
ANT1200192,,BAF 10
ANT1200306,,
ANT1200307,,BAF 10
ANT1200536,,BAF 20
ANT1200538,,BAF 20.  ON EDGE OF HIGH SEVERITY
ANT1200540,,BAF 10
ANT1200542,,
ANT1200575,,BAF 20
ANT1200577,,BAF 20
ANT1200579,,BAF 20
ANT1200581,,BAF 20
ANT1200583,,BAF 10
ANT1200585,,BAF 20
ANT1200621,,
ANT1200623,,
ANT1200625,,BAF 20
ANT1200627,,BAF 10
ANT1200672,,Moved plot 10m south to avoid a road.
ANT1200674,,
ANT1200676,,
ANT1200726,,
ANT1200728,,
ANT1201310,,BAF 20
ANT1201376,,BAF 10
ANT1201378,,
ANT1201444,m,"BAF 20.  COW TRACKS, SALVAGE LOGGING."
ANT1201446,m,"MANAGED AREA, COW PIE IN PLOT."
ANT1201448,,BAF 20. GRAZING AREA.
ANT1201519,,BAF 10
ANT1201581,m,BAF 10.  STAND IS A BEAUTIFUL MEADOW APROX 100mX400m
ANT1201585,,BAF 20
ANT1201587,,BAF 20
ANT1201769,,BAF 20
ANT1201771,,BAF 10
ANT1201773,,BAF 20
ANT1201775,,BAF 10
ANT1201777,,BAF 10
ANT1201779,,BAF 10
ANT1201781,,BAF 10
ANT1201783,,BAF 10.
ANT1201785,,BAF 10
ANT1201787,,BAF 20
ANT1201789,,BAF 5
ANT1201791,,BAF 20
ANT1201793,,BAF 5
ANT1201796,,
ANT1201799,,BAF 10
ANT1201830,,BAF 20
ANT1201832,,BAF 20
ANT1201834,,BAF 10
ANT1201836,,BAF 5
ANT1201838,,BAF 10
ANT1201840,,BAF 10
ANT1201842,,BAF 10
ANT1201844,,BAF 5
ANT1201846,,BAF 20
ANT1201848,,BAF 20
ANT1201850,,BAF 10
ANT1201852,,BAF 20
ANT1201854,,BAF 20
ANT1201856,,BAF 5
ANT1201860,,BAF 10
ANT1201896,,BAF 20
ANT1201898,,BAF 20
ANT1201899,,BAF 20
ANT1201900,,
ANT1201949,,BAF 10
ANT1201951,,BAF 5
ANT1201953,,BAF 10
ANT1201963,,BAF 20
ANT1201965,,BAF 5
ANT1202011,,BAF 10
ANT1202013,m,SOME MANAGEMENT: STUMPS/SALVAGE LOGGING
ANT1202015,,BAF 10
ANT1202019,,
ANT1202025,,BAF 10
ANT1202027,,BAF 5
ANT1202029,,
ANT1202031,,"BAF 10,  MOVED PLOT CENTER 10m EAST DUE TO STEEP CLIFF"
ANT1202033,m,"SALVAGE LOGGING, MANAGED AREA"
ANT1202035,m,in or next to a managed area
ANT1202039,m,Salvage logging and planting
ANT1202082,,BAF 5
ANT1202084,m,"BAF 5.  SALVAGE LOGGING -> 8 STUMPS (W/ DBH ~ 20) WITHIN 8 METERS, COULD HAVE BEEN COUNTED AS SNAGS OR SURVIVING TREES."
ANT1202090,,BAF 5                               Dense shrub cover
ANT1202092,,BAF 5  Plot center moved 37 m to North - out of wetland
ANT1202094,,BAF 5    NEAR DRY CREEK BED
ANT1202096,,BAF 10
ANT1202098,,BAF 10
ANT1202100,,BAF 10
ANT1202102,,BAF 20      EDGE BETWEEN HIGH AND LOW SEVERITY
ANT1202104,,
ANT1202137,,BAF 5
ANT1202139,m,"BAF 5, SALVAGE LOGGING IN AREA"
ANT1202148,,BAF 5
ANT1202150,,BAF 5.  GROUND COVER ESTIMATES LEFT OUT.
ANT1202154,,
ANT1202172,,"BAF 10   CalVeg based off of a similar plat nearby since all trees were burned in plot, seed sources out of range, no regen in range"
ANT1202174,,BAF 10        REGEN OUT OF RANGE
ANT1202179,,
ANT1202180,,
ANT1202186,,BAF 5.
ANT1202198,,BAF 5
ANT1202216,,NEAR LAKE SHORE
ANT1202218,,
ANT1202220,,Plot moved 10 m north to exclude managed land.
ANT1202225,,BAF 10
ANT1202226,,
ANT1202242,,BAF 5  NEAR ROAD
ANT1202261,,BAF 5                                        STUNTED PIPO TREES - LIKELY BROWSED
ANT1202262,m,BAF 5    VERY LARGE STUMP D=72CM
ANT1202263,,"BAF 10           VERY ROCKY, NO REGEN IN RANGE,"
ANT1202292,,PLOT MOVED 10 M SOUTH OFF A ROAD
ANT1202293,,
ANT1202342,,BAF 10
BAR1111266,,On border of high and moderate severity
BAR1111267,,
BAR1111316,,
BAR1111317,,
BAR1111367,,Moved plot 10m W to avoid road
BAR1111418,,Tons of cheatgrass and lots more LASE and COAR out of plot by the road.
BAR1111479,,
BAR1111480,,"Dead PIJE shows signs of Endocromartium harknessii infection, but clearly killed by fire."
BAR1111482,,
BAR1111515,,
BAR1111516,,
BAR1111517,,
BAR1111530,,
BAR1111531,,
BAR1111532,,
BAR1111564,,
BAR1111565,,
BAR1111566,,On border of high severity
BAR1111613,,
BAR1111614,,
BAR1111615,,
BAR1111619,,flat area between drainages
BAR1111620,,moved plot 20m S to avoid ditch
BAR1111621,,Moved plot 20m S out of drainage.  Close to irrigation tube on stream.
BAR1111662,,
BAR1111663,,
BAR1111664,,
BAR1111670,,a lot of psme regen between this plot and last one.  No seed trees is sight.
BAR1111671,,No seed trees in sight.
BAR1111672,,
BAR1111683,,
BAR1111684,,
BAR1111711,,
BAR1111712,,
BAR1111713,,No regen within 25m.
BAR1111714,,
BAR1111716,,
BAR1111717,,
BAR1111718,,
BAR1111719,,Seed sources all burned
BAR1111734,,
BAR1111760,,
BAR1111762,,No surviving conifers in sight.  Only seeding hardwoods in sight are hardwood repsrouts
BAR1111763,,
BAR1111765,,lots of PTAQ
BAR1111766,,
BAR1111767,,
BAR1111769,,"Lots of lathyrus sp. 100cm tall, 35% cover"
BAR1111808,,Lots of Lathyrus - 50% cover 75cm tall avg.
BAR1111809,,
BAR1111810,,
BAR1111811,,
BAR1111816,,
BAR1111857,,
BAR1111858,,
BAR1111859,,
BAR1111900,,Roadside salvage logging post fire
BAR1111901,,Old dozer work; between roads
BAR1111902,,
BAR1111903,,
BAR1111904,,
BAR1111905,,
BAR1111941,,
BAR1111942,,
BAR1111943,,
BAR1111944,,seed sources all burned
BAR1111945,,
BAR1111946,,All hardwood seed sources burned.
BAR1111947,,
BAR1111948,,
BAR1111984,,No visible seeding trees.  No seedlings within 25m.
BAR1112019,,
BAR1112020,,
BAR1112021,,
BAR1112022,,
BAR1112056,,Plot extended to 7m due to slope
BAR1112086,,Trees under 30cm dbh: 100% mortality rate around plot.
BAR1112087,,All saplings are dead
BAR1112118,,Plot extended to 7m radius
BAR1112169,,Plot extened to 6m because of slope
BAR1112170,,
BAR1112192,,Moved plot 24m NW to avoid road and fenced area
BAR1112212,,
BAR1112230,,
BAR1112231,,
BAR1112247,,
BAR1112248,,
BAR1112279,,
BAR1112290,,plot extended to 7m
BAR1112291,,
BAR1300001,,CONTROL.  BAF 40
BAR1300002,,CONTROL. BAF 10
BAR1300003,,CONTROL
BAR1300004,,CONTROL. BAF 10
BAR1300005,,CONTROL BAF 40
BAR1300006,,CONTROL. BAF 40
BAR1300007,,CONTROL. BAF 40
BST1100004,,"PLOT MOVED 14 M SOUTH TO AVOID ROAD; ALL SAPLINGS DEAD IN AREA, NO REGEN IN PLOT, BUT LOTS OF CONES"
BST1100005,m,SALVAGE LOGGING AFTER FIRE - LOTS OF STUMPS
BST1100014,,CONTROL PLOT
BST1100024,m,"SALVAGE LOGGED - 1 STUMP, DOWNED TREES"
BST1100025,m,NEAR HUMAN DISTURBANCE; SOME THINNING
BST1100026,m,MOVED PLOT 45 M EAST TO AVOID BOG; HUMAN DISTURBANCE
BST1100043,,BURNED SHRUB SKELETONS - NO STUMPS OR LOGS
BST1100046,,"STANDING SNAGS, NO REGENERATION 25 M FROM PLOT CENTER IN ALL DIRECTIONS"
BST1100047,,
BST1100051,,
BST1100052,m,LOTS OF PLANTED TREES IN AREA; MOVED PLOT 15M NW TO AVOID ROAD
BST1100063,,DEAD SHRUBS - NO STUMPS OR LOGS
BST1100064,,DEAD SHRUBS; NO STUMPS OR LOGS
BST1100066,,SAPLINGS DEAD; SCORCH ~15 M
BST1100067,,PLOT 1/2 ON OVERGROWN ROAD
BST1100068,,ALL YOUNG SAPLINGS DEAD
BST1100069,,LOTS OF PTAQ FERN
BST1100070,,
BST1100071,m,SALVAGE LOGGING - PROBABLY BY HELICOPTER
BST1100072,m,SALVAGE LOGGING
BST1100086,,
BST1100087,,
BST1100090,m,SALVAGE LOGGING
BST1100095,,
BST1100109,,SNAG CITY
BST1100110,,REALLY HIGH FIRE BURN SEVERITY IN SURROUNDING AREA
BST1100111,,
BST1100112,,"DEAD SHRUBS, SOME MORTALITY"
BST1100113,m,SLASH/SALVAGE LOGGING
BST1100114,m,SLASH
BST1100117,,
BST1100119,,NO LOGGING; LOTS OF NATURAL SLASH
BST1100134,,
BST1100135,,
BST1100136,,CANT FIND ANY CADE OR PIPO SEED SOURCES -- TOO FAR AWAY
BST1100137,,
BST1100143,,
BST1100144,,
BST1100159,,
BST1100160,,FIRE SEVERITY IN PLOT = 5; OUTSIDE OF PLOT = 4 (NORTH) OR 5 (SOUTH)
BST1100161,,VERY DRY
BST1100162,,NO SNAGS; SALVAGE LOGGING NEAR PLOT (NORTH SIDE); PASSED BY A MARSH ECOSYSTEM GETTING HERE (SOUTH SIDE)
BST1100163,,HALF PLOT UNBURNED; HALF ONLY SAPLINGS DEAD
BST1100172,m,SALVAGE LOGGED; PLANTED PIPO AND PILA
BST1100173,m,"CONTROL PLOT; ALMOST NO REGEN; UNBURNED, THINNED, BEHIND HOUSES"
BST1100174,,
BST1100175,,
BST1100177,,MOVED 60M TO THE EAST TO AVOID SWAMP; BRODEIA (YELLOW) ON PLOT; CONTROL PLOT
BST1100178,,CONTROL PLOT
BST1100185,,CONTROL PLOT; UNBURNED; NO SURVIVING REGEN SINCE FIRE
BST1100193,,A HUGE NUMBER OF 2 YR ABMAS NW OF THE PLOT (10M-40M)
BST1100194,m,PLANTED PSMES AND PIPOS IN AREA AROUND PLOT
BST1100195,,
BST1100196,,
BST1100197,m,PIPOS PLANTED IN AREA
BST1100198,,LOTS OF PTAQ FOR COVER
BST1100200,,
BST1100203,,MOVED PLOT 10M NORTH DUE TO HEAVY LOGGING
BST1100205,,CONTROL PLOT
BST1100210,,CONTROL PLOT
BST1100212,,PLOT MOVED ~25M TO AVOID ROAD
BST1100213,,"CONTROL, MACHINERY, WORK IN AREA - DISTANT PAST; LOTS OF REGEN IN NEARBY ROAD"
BST1100214,,PTAQ ABUNDANT
BST1100228,,BARREN
BST1100229,,
BST1100234,,UNKNOWN VINE - SOFT OPPOSITE LEAVES (LOHI)
BST1100235,,LOTS OF NATURAL SLASH
BST1100255,,
BST1100263,,
BST1100264,,
BST1100265,,
BST1100266,,OPEN - NO SIGNS OF STUMPS OR TREE COVER
BST1100267,m,AREA PLANTED
BST1100268,,SURROUNDED BY HIGH SEVERITY - PLOT IN UNBURNED AREA
BST1100269,m,PLANTED AREA
BST1100270,,
BST1100276,m,HIGHLY DISTURBED; LOGGED BEFORE FIRE
BST1100277,,LOTS OF NATURAL SLASH
BST1100282,,
BST1100283,,
BST1100284,,NEAR WATER SOURCE - GROUND MARSH-LIKE
BST1100285,,
BST1100286,,
BST1100287,,
BST1100288,,
BST1100289,,
BST1100290,,
BST1100291,,
BST1100297,m,LOGGED BEFORE FIRE?; PLANTED?; 3 BIG STUMPS IN PLOT
BST1100298,,
BST1100304,,LOTS OF FERNS
BST1100305,,
BST1100307,,
BST1100308,,Surrounding area lightly burned.
BST1100309,,
BST1100310,,
BST1100311,,JUST EAST OF POSSIBLE FIRE LINE (& FIRE ROAD) BY ~5M; SEVERITY 5 JUST 30M SOUTH
BST1100312,,
BST1100313,,
BST1100318,,
BST1100326,,
BST1100327,m,"Planting, PIPOs and PILAs"
BST1100328,,
BST1100329,m,Planting in and around plot
BST1100331,,
BST1100332,,
BST1100333,,
BST1100347,,
BST1100349,,
BST1100350,,"Fern, monkey flower"
BST1100351,,
BST1100352,,
BST1100353,,
BST1100354,,
BST1100360,,
BST1100361,,
BST1100362,,
BST1100363,,
BST1100364,,CONTROL PLOT
BST1100365,,
BST1100366,,
BST1100367,,"MOVED PLOT 30M EAST, AWAY FROM ROAD"
BST1100368,,
BST1100376,,
BST1100377,,
BST1100378,,CONTROL PLOT
BST1100380,,
BST1100381,m,PARTIAL THINNING IN AREA
BTU1300020,,BAF 10
BTU1300021,,BAF 40
BTU1300024,,BAF 5
BTU1300025,,
BTU1300026,,BAF 5
BTU1300027,,
BTU1300028,,
BTU1300032,,BAF 5
BTU1300033,,BAF 10
BTU1300034,, BAF 40
BTU1300035,,BAF 40
BTU1300038,,
BTU1300040,,
BTU1300045,,BAF 10
BTU1300047,,
BTU1300050,,BAF 10
BTU1300051,,
BTU1300054,,BAF 40
BTU1300061,,
BTU1300063,,
BTU1300066,,BAF 10. TRAIL CUTS THROUGH PLOT - ADDING 6% BARE GROUND
BTU1300067,,BAF 40
BTU1300071,,
BTU1300073,,
BTU1300076,,BAF 5
BTU1300079,,
BTU1300081,,BAF 40
BTU1300084,,BAF 40
BTU1300085,,BAF 10
BTU1300086,,
BTU1300087,,BAF 40
BTU1300095,,BAF 40
BTU1300096,,BAF 10
BTU1300097,,BAF 40
BTU1300098,,BAF 10
BTU1300108,,BAF 5
BTU1300109,,
BTU1300111,,BAF 10
BTU1300112,,BAF 10
BTU1300115,,BAF 40
BTU1300116,,BAF 40
BTU1300117,,BAF 5
BTU1300119,,BAF 20
BTU1300120,,BAF 40. LITTER/DUFF AND SEED SOURCES DATA NR.
BTU1300121,,BAF 40
BTU1300122,,BAF 5
BTU1300125,,BAF 40
BTU1300126,,BAF 10
BTU1300128,,BAF 40
BTU1300152,,MANY QUKE RESPROUTS JUST OUTSIDE PLOT
BTU1300153,,
BTU1300154,,BAF 10
BTU1300155,,BAF 5
BTU1300156,,BAF 40
BTU1300157,,
BTU1300158,,
BTU1300159,,BAF 40
BTU1300160,,BAF 40
BTU1300161,,
BTU1300163,,BAF 40
BTU1300164,,BAF 40
BTU1300165,,BAF 40
BTU1300166,,BAF 40
BTU1300167,,BAF 40
BTU1300168,,
BTU1300169,,
BTU1300170,,BAF 5
BTU1300175,,95% OF PLOT IS BRACKEN FERN
BTU1300176,,
BTU1300177,,
BTU1300180,,
BTU1300181,,BAF 10
BTU1300183,,BAF 40
BTU1300185,,BAF 40
BTU1300186,,
BTU1300187,,BAF 40. PLOT IN WATERSHED
BTU1300190,,BAF 10
BTU1300191,,BAF 5
BTU1300192,,
BTU1300193,,"PLOT IN WATERSHED, INUNDATED"
BTU1300194,,BAF 40
BTU1300195,,BAF 10
BTU1300197,,BAF 10
BTU1300198,,BAF 10
BTU1300199,,BAF 10
BTU1300200,,
BTU1300567,,CONTROL. BAF 40
BTU1300578,,CONTROL. BAF 40
BTU1300582,,CONTROL. BAF 40
BTU1300587,,CONTROL. BAF 40
BTU1300588,,CONTROL. BAF 40
BTU1300592,,CONTROL
BTU1300596,,CONTROL. BAF 10
BTU1300597,,CONTROL. BAF 40
BTU1300602,,CONTROL.  MISSING GROUND COVER ESTIMATES :(
BTU1300603,,CONTROL. BAF 40
BUT1200041,,
BUT1200048,,
BUT1200049,,
BUT1200057,,
BUT1200061,,"PLOT CENTER IS 1.2m AWAY FROM FLAGGING, @326 DEGREES."
BUT1200062,,
BUT1200063,,HEAVY DEER PRESENCE.  PLOT CENTER IS 2.5m AWAY FROM ORANGE FLAGGING @190 DEGREES.
BUT1200070,,
BUT1200074,,PLOT CENTER IS 0.7m AWAY FROM FLAGGING ON ABCO @ 17 DEGREES
BUT1200075,,BAF 10
BUT1200079,,
BUT1200081,,BAF 5
BUT1200083,,BAF 10
BUT1200084,,
BUT1200087,,
BUT1200088,,
BUT1200089,,BAF 10
BUT1200090,,BAF 10        Plot center is orange flag in small ARPA by closest PIJE
BUT1200091,,Plot center is 23.2 m @ 40 from original plot at edge of the road.
BUT1200092,,
BUT1200093,m,BAF 5    PLANTED PINE
BUT1200097,,
BUT1200098,,
BUT1200099,,
BUT1200100,,
BUT1200101,,
BUT1200102,,
BUT1200103,,Plot center is 2.1 m @ 194 from
BUT1200105,,
BUT1200106,,
BUT1200107,,
BUT1200108,,
BUT1200110,,Plot center is at orange flaggin in CELEU
BUT1200111,,Plot center is 1.7 m @ 86 from orange flagging on QUKE
BUT1200112,,Plot center is 2.2 m @230 frin orange flag.
BUT1200113,,Plot center 1.4 m away  at 335 degrees from orange flagging.
BUT1200114,,
BUT1200116,,BA   = 5                               Plot center is 2 m  @ 218 degr from orange flags in CeLe
BUT1200117,,Plot center 2.6 m @ 302 deg from PIJE
BUT1200118,,Tree is flagged 3 meter and 109 degrees from the plot center.
BUT1200120,,BAF 10
BUT1200121,,Plot center is 0.5 m @ 127  from orange flag in CELE by QUKE resprout.
BUT1200124,,"Plot center moved 20 m @ 256 from original location - in road. No flaggin tape, just oragne flag."
BUT1200127,,Moved plot center 50 across the road into unburned area.
BUT1200128,,
BUT1200135,,BAF 10  PLOT CENTER ORANGE FLAGGING IN CELE
BUT1200136,,BAF 10
BUT1200137,,Plot center is 65 cm @ 266 from orange flagging on flannel bush.
BUT1200138,,BAF 10
BUT1200139,,
BUT1200140,,BAF 10.  PLOT CENTER IS 1.38m @ 162 DEGREES FROM ORANGE FLAGGING ON CELE
BUT1200141,,PLOT CENTER IS 3.3m AT 66 DEGREES AWAY FROM ABCO WITH ORANGE FLAGGING.
BUT1200142,,
BUT1200143,,
BUT1200144,,
BUT1200145,,"CONTROL PLOT, PLOT CENTER IS LOCATED 1.2M AT 352 DEGREES FROM ORANGE FLAGGING ON ABCO"
BUT1200146,,PLOT CENTER IS 2M AT 33 DEGREES AWAY FROM CEBE WITH ORANGE FLAGGING.
CHB2012003,,"Plot is a 1 burn severity, but some surrounding trees torched"
CHB2012006,,Burned out stump near plot center. 40% of trees around plot burned above ground. 100% shrub mortality
CHB2012007,,Very low burn; high canopy coverage
CHB2012008,,Extremely dense with a number of shrub species
CHB2012012,,"Fire burned most veg. below 3 ft., apparently zero mortality"
CHB2012013,,10 foot and under burn
CHB2012014,,mostly bunch grass
CHB2012015,,Mostly bunchgrasses (Bromus cilliatus). Fire burned low throughout the majority of the stand; few oaks completely consumed
CHB2012020,,"Exposed site, not much vegetation to begin with"
CHB2012026,,"""3"" fire classification applies to outside of plot- nothing burned inside plot (talus slope)"
CHB2012033,,Burned most vegetation below 4 ft.
CHB2012034,,Fire burned very low to the ground (+ or - 3 ft); 1 to 10 QUGA mortality
CHB2012038,,"Area vacant of shrubs, except Manzanita that were burned"
CHB2012039,,Everything under 10 ft torched. Dozens of dead PSME saplings in and around plot
CHB2012043,,"10 m scorch marks, no obvious tree mortality from fire.  Within 1 acre most PSME and PIPO are old growth."
CHB2012044,m,Trees show evidence of cutting
CHB2012045,,"Site bordering on a ""4"" corridor"
CHB2012050,,QUGA resprouts are from old fire
CHB2012051,,
CHB2012065,,
CHB2012078,,"Burned spotty/ some trees destroyed, other OK"
CHB2012130,,no regenerated conifers in the vicinity
CHB2012131,,Star thissle common on slope; no regenerated conifers in area
CHB2012138,,
CHB2012148,m,brush cut out around felled trees
CHB2012149,,No regenerated conifers in the area
CHB2012153,,
CHB2012167,,large amounts of bunch grass (fescue and elymus) in plot/no regenerateed conifers within area/site is steep with much exposed rock and soil
CHB2012168,,"No regenerated conifers in the area/narrow leafed lupu and glaucus ""carrot"" are common to plot"
CHB2012169,,"No regenerated conifers in vicinity/1m stump at center of plot (diameter=32"")"
CHB2012170,,
CHB2012171,,"For hardwood resprouts, aging individual sprouts because parents are difficult to tell apart due to close proximity"
CHB2012175,,ULTRA-DENSE VEGETATION
CHB2012181,,
CHB2012183,,
CHB2012185,,Ultra dense Ceanothus Integerimus slope. Many down (cut) logs w/ some fire damage present
CHB2012186,,
CHB2012187,,
CHB2012188,m,Half plot stumps & burnt shrubs/ other half conifer and oak show signs of low burn fire effects
CHB2012189,,No regenerated conifers in the area
CHB2012190,,No regenerated conifers in the area
CHB2012191,,Nearest conifer showed no regeneration/ slope is covered in bunchgrass
CHB2012192,,CENSOL patchy outside plot in low percent cover
CHB2012193,,Beautiful festuca bunchgrass recovery
CHB2012208,,"Some live PILA, so not a 5 in plot; but is a 5 further up slope"
CHB2012210,m,many cut stumps; nothing older than 5 years
