Regen_Plot,Exclude,NOTES
CHB2012211,,1 horizontal tree < breast height; 10 cm diameter (+ or-)4.5' along stem
CHB2012212,,dense monodominant stand of white oak (QUGA); much litter and past years grass/forb (more litter)
CHB2012214,,No conifer seedling within (+ or -) 15 m radius; ridge very barren; nearest conifer seed source may by nearest conifer period
CHB2012218,,99% MORTALITY IN VICINITY UNDER 7m
CHB2012222,,Burned many trees under 4m
CHB2012228,,
CHB2012229,,All lonicera from this China burn is Lonicera interrupta and not lonicera hispidula
CHB2012230,,Mostly grass/shrub w/ some last years dead grass underneath.-no regen trees w/in 100m.
CHB2012231,,Site extremely barren( but lots of last years grass/forbs/litter)
CHB2012232,,Fire appears to have burned low- lots of bottom kill
CHB2012243,,cool castilleja and scute Naria; different Epilobium sp. too
CHB2012247,,"Chaparral, few/no trees in vicinity"
CHB2012248,,Fire burned everything below 6 ft. limited tree mortality from fire
CHB2012252,,No tree stumps in general vicinity of plot. Plot on knob-all trees below elevation of the plot.
CHB2012261,,
CHB2012262,,"Fire burned almost all shrubs (ARCGLA and CERBET mostly); however, most hardwoods survived"
CHB2012263,,"Dense grassy slope; some melicoid and bromoid probably non-native/ many conifers in area; however, no regen observed"
CHB2012265,,"Chaparral, few/no trees in vicinity"
CHB2012266,,Fire patchy in area; burn ht. from 4-15 ft. A few down oaks from fire = white oak stumps w/ downed trees outside of plot
CHB2012280,,
CHB2012281,,
CHB2012282,,We appear to be just beyond (5m) the border of a fire severity 1 and 3
CHB2012283,,Nearly all CADE in vicinity went up in flames (dead)
CHB2012292,,"Charred, sometimes up to 4m"
CHB2012990,,
CHB2012991,,
CHB2012992,,Ribes sp.(tiny fuzzy leafed gooseberry) 95% elymus glaucus cover
CHB2012993,,
CHB2012994,,
CHB2012995,,
CHB2012996,,Had to move 50 m south to avoid hitting road and fire
CHB2012997,,
CHB2012998,,
CHB2012999,,
CUB1300032,,BAF 5
CUB1300038,,BAF 5
CUB1300039,,BAF 5
CUB1300059,,BAF 40
CUB1300061,,
CUB1300064,,
CUB1300065,,BAF 5
CUB1300066,,
CUB1300068,m,IRRIGATION LINES IN PLOT
CUB1300069,,
CUB1300076,,
CUB1300080,,
CUB1300081,,BAF 10
CUB1300082,,BAF 40
CUB1300085,,BAF 40
CUB1300086,,BAF 40
CUB1300087,,
CUB1300089,,BAF 10
CUB1300091,,
CUB1300092,,BAF 40
CUB1300093,,
CUB1300094,,BAF 40
CUB1300097,,BAF 40
CUB1300100,,BAF 40
CUB1300101,,
CUB1300102,,BAF 10
CUB1300105,,
CUB1300108,,
CUB1300109,,BAF 40
CUB1300110,,BAF 40
CUB1300111,,CONTROL. BAF 40
CUB1300113,,
CUB1300115,,
CUB1300116,,BAF 40
CUB1300117,,CONTROL. PLOT 5m AWAY FROM DEER CREEK. NOT MUCH SOIL
CUB1300125,,CONTROL. BAF 40
CUB1300141,,BAF 10
CUB1300161,,BAF 5
CUB1300168,,
CUB1300169,,BAF 5
CUB1300170,,
CUB1300171,,
CUB1300172,,BAF 40
CUB1300173,,BAF 40
CUB1300180,,BAF 10
CUB1300181,,
CUB1300182,,
CUB1300184,,BAF 40
CUB1300185,,BAF 40
CUB1300198,,BAF 10
CUB1300199,,
CUB1300200,,BAF 40
CUB1300215,,
CUB1300216,,BAF 40
CUB1300220,,BAF 40
CUB1300221,,BAF 40
CUB1300229,,BAF 5
CUB1300233,,BAF 40
CUB1300234,,BAF 40
CUB1300235,,
CUB1300247,,
CUB1300254,,
CUB1300256,,
CUB1300258,,COVER ESTIMATES NR
CUB1300259,,
CUB1300272,,
CUB1300273,,
CUB1300274,,BAF 5
CUB1300275,,BAF 10
CUB1300276,,BAF 5
CUB1300277,,BAF 10
CUB1300280,,
CUB1300281,,BAF 10
CUB1300282,,
CUB1300287,,BAF 40
CUB1300288,,BAF 40
CUB1300293,,BAF 40
CUB1300300,,
CUB1300305,,BAF 40
CUB1300306,,BAF 40
CUB1300307,,BAF 40
CUB1300308,,BAF 40
CUB1300310,,BAF 40
CUB1300311,,BAF 40
CUB1300312,,BAF 40
CUB1300314,,BAF 40
CUB1300316,,
CUB1300320,,BAF 40
CUB1300321,,BAF 40
CUB1300322,,BAF 40
CUB1300323,,
CUB1300325,,BAF 40
CUB1300326,,BAF 40
CUB1300327,,BAF 40
CUB1300338,,BAF 5
CUB1300340,,
CUB1300346,,BAF 40. ALL SEEDLINGS HAVE BEEN GRAZED
CUB1300347,,BAF 10
CUB1300349,,BAF 40
CUB1300350,,BAF 40.
CUB1300351,,BAF 40
CUB1300353,,BAF 40
CUB1300354,,
CUB1300357,,
CUB1300360,,BAF 40
CUB1300361,,CONTROL. BAF 40
CUB1300362,,CONTROL. BAF 40
CUB1300370,,CONTROL. BAF 40
CUB1300371,,BAF 40
CUB1300372,,
CUB1300373,,
CUB1300374,,BAF 5
CUB1300377,,BAF 5
CUB1300378,,BAF 10
CUB1300379,,BAF 5
CUB1310350,,"CONTROL. BAF 40  (PLOT 350 CONTROL, ONLY USED 10350 TO AVOID OVERLAP WITH MASTER PLOT 350)."
CUB1310351,,CONTROL.  NO BA RECORDED
CUB1310371,,CONTROL.  (USED CODE 10371 TO DIFFERENTIATE FROM MASTER PLOT 00371)
CUB1310378,,CONTROL. BAF 40.  (USED CODE 10378 TO DIFFERENTIATE BETWEEN MASTER PLOT 00378)
CUB1310379,,CONTROL.  (USED 10379 TO DIFFERENTIATE FROM MASTER 00379)
DEP0900001,,
DEP0900002,,
DEP0900004,,
DEP0900006,,Invasives: thistle. Grazed.  Slash partially cleaned up.
DEP0900007,,Invasives: cheatgrass.
DEP0900008,,Invasives: Cheatgrass. Six clumps of Birchleaf mt mohagoney survived the fire -- Cercocarpus beuloides.
DEP0900009,,Invasives: Cheatgrass. Large manzanita fallen in plot.
DEP0900010,,
DEP0900011,,
DEP0900012,,Site does not look burned!
DEP0900016,,Invasives: Cheatgrass +
DEP0900017,,
DEP0900018,,
DEP0900019,,Plot between 2 large boulders.
DEP0900022,,
DEP0900023,,
DEP0900027,,
DEP0900028,,Chamise -- Adenostoma fasciculatum
DEP0900031,,LEGL - Western Labrador Tea -- this ID is questionable!!
DEP0900032,,
DEP0900033,,Plot on side of a boulder cliff.
DEP0900041,,Invasives: Cheatgrass.  Grazing present.
DEP0900042,,Dead pine 30 m north of plot center.
ELK2012001,,"Outside of fire;however, signs of burn are present. We cannot determine if the resprouting was b/c of the 5 year fire or b/c of a later fire"
ELK2012002,,difficult to age all trees and saplings beyond 15 years
ELK2012003,,"Older evidence of cutting, maybe >15yrs… (unsure)"
ELK2012004,,
ELK2012005,,Orange flagging used to mark plot/Numerous sapling snags. At some point fire came through and killed everything under 5 m
ELK2012006,,Orange flagging used to mark plot center
ELK2012007,,Orange flagging used to mark plot center
ELK2012008,,Orange flagging used to mark plot center. Plot has a # of riparian like qualities. RHOC nearly treelike *those in tree stage counted as trees and those in shrub stage counted under shrubs
ELK2012009,,Orange flagging used to mark plot center
ELK2012010,,Orange flagging used to mark plot center
ELK2012119,,"Both shrubs and regen ARME, NODE, QUKE show evidence of browsing.  However, outside of plot older trees survived"
ELK2012402,,Lots of downed woody debris
ELK2012403,,lots of debris on slope
ELK2012440,,lots of PIAT regen
ELK2012441,,
ELK2012510,,Lots of PIAT regen on slope
ELK2012511,,Lots of PIAT regens I cicinity. Lots of downed (some cut down) logs in vicinity
ELK2012512,,Poor satelite reception- plot w/in 5 m.
ELK2012527,,
ELK2012536,,
ELK2012543,,
ELK2012564,,"SALIA in shrub stage- all SALIA regen counted as clumps. NE facing slope burn severity decreased, outside of plot 15 m from plot.0"
ELK2012565,,"SALSIT in shrub stage; counted as clumps. Evidence of charred stumps, but SALSIT regens >8 yrs"
ELK2012566,,ABCO dominated slope (except in plot); very low to no evidence of burn
ELK2012570,,"very low charring (25 cm), but few low"
ELK2012571,,
ELK2012572,,Incence cedar seedlings just outside plot
ELK2012586,,Everything above 15 m survived(lrg trees only). All else torched
ELK2012587,,Slope largely lacking in conifer regen
ELK2012589,,"SASIA shrub like.  Fire burn severity= 1/2 plot a ""2"" severity and other half a ""5"" severity"
ELK2012590,,SASIA reprouts were not mature enough to be trees. (Classified as shrubs).
ELK2012591,,All ARME w/in several hundred meters are only 5 m ht. Patches of PSME and other conifer surrounding area w/in a 100 + m radius
ELK2012592,,
ELK2012593,,
ELK2012594,,"Burn severity 3 in ravine, 5 in surrounding area"
ELK2012595,,"Evidence of browsing on all shrubs. Plot at edge of high burn severity, with 0-1 burn severity to west"
ELK2012599,,Willow sp. = hookariana like
ELK2012600,,
ELK2012615,,Hillside all shrubs and very steep
ELK2012617,,
ELK2012618,,"Hillside dominated by QUCH outside of plot. Class ""4"" w/in a 20 m radius; then moves to a class""3"""
ELK2012619,,100 % mortality (including large trees) in 15 m radius
ELK2012620,,Site mostly barren (serpentine and very rocky)
ELK2012621,,SASIA counted as shrub stage. RUDI2 present but outside plot
ELK2012622,,"CADE dominant w/in 4.5m radius, but PSME dominant outside plot"
ELK2012623,,
ELK2012624,,
ELK2012625,,Vegetation and deadfall nearly impassable. Some regen at least 7 years old within plot. All else < 5 yrs
ELK2012629,,Some salsit shurbs as well as saplings. Clumps of shrub salsit recorded
ELK2012630,,Orange flagging used to mark plot center
ELK2012650,,Mostly Bromus ciliatus bunch grass along hillside
ELK2012652,,"patchy, high severity burn across slope"
ELK2012653,,Old logging clearing below plot
ELK2012658,,
ELK2012659,,3 burned out stumps within plot
ELK2012690,,CORNUT treelike
ELK2012716,,Burn severity between 2 and 3
ELK2012717,,Everything torched minus a few saplings
ELK2012719,,plot is 12 m downslope from plot center at edge of road
ELK2012721,,100 % mortality plot center and eastward. Vegetation to west of plot center 5 years or older and unburned area 30 m to east
ELK2012744,,Patchy appeared to burn hot outside of plot
ELK2012745,,"Barren ridge, dominant tree species difficult to ascertain"
ELK2012749,,"71.5 dbh ARME at plot center.  Everything under 10 m burned in vicinity, killing many trees.  Outside of plot scorched and mortality reaches 30 m +."
ELK2012750,,"weedy comps in plot, including a senecio sp., graphalioid comp. and prickly-stemmed pinnately-leafed comp. - 20 m to west burn severity 1 or 2."
ELK2012751,,
ELK2012771,,
ELK2012772,,
ELK2012776,,Killed about 1/2 mature trees
ELK2012779,,Rosa sp.= small tanoak completely toched but PSME and other conifers okay
ELK2012799,,Very high (< 10 m) scorch marks
ELK2012800,,"Most trees under >15 cm dbh torched and killed.  Outside of plot fire severity ""2"""
ELK2012801,,4 SASIA resprout clumps
ELK2012828,,CEIN-deer browsed
ELK2012829,,50% of stand snags
ELK2012856,nf,"plot is on rocky, barren slope"
ELK2012857,,Lots of snags
ELK2012864,,Large PSME stumps cut (5 total) (dbh>45cm)
ELK2012891,,ACMA and CHCH are all resprouted at 5 yrs old and inside plot. Outside plot (about 30 m).  Mature PSME present
ELK2012892,,
ELK2012893,,Numerous <70 cm dbh PSME downed logs
FRD0900007,,Invasives: Thistle
FRD0900008,m,Heavy slash. No existing trees
FRD0900009,,Invasives: Cheatgrass
FRD0900010,,Lots of 2 year regen in surrounding area.
FRD0900011,,no existing trees.
FRD0900012,,Invasives: Thistle. Heavy slash. No natural regeneration. No existing trees.
FRD0900013,m,Heavy slash.
FRD0900014,,Couple of wet water seeps. Sedges present. Several sugar pine cones in plot.
FRD0900015,,Invasives: Cheatgrass.
FRD0900016,,Shifted plot to avoid stream. Photo 1253 -- unknown broadleaf 3.
FRD0900017,,Invasives: LACE. No existing trees.
FRD0900019,,Invasives: Cheatgrass+. No existing live conifers.
FRD0900020,,"Invasives: thistle-, LACE-. Medium CEIN cover w/ pine regeneration."
FRD0900021,,Plot on th edge of a stream.
FRD0900022,m,area heavily logged.
FRD0900023,m,Area heavily logged. Plot moved 5 meters west.
FRD0900024,,Invasives: Cheatgrass
FRD0900025,,Invasives: Thistle.  Heavy slash.
FRD0900026,,
FRD0900027,,
FRD0900028,,
FRD0900029,,
FRD0900030,,cheatgrass present
FRD0900031,,"LACE present, LOCR .5%"
FRD0900032,,"Invasives: cheatgrass +, LACE +"
FRD0900033,m,heavy slash
FRD0900034,,
FRD0900035,,"heavy pine needles, protected from live & dead trees, upslope side  mountain lupin"
FRD0900036,,Invasives: thistle+. No existing trees left.
FRD0900037,,
FRD0900038,,Invasives: Cheatgrass +. No existing live trees
FRD0900039,,"Invasives: Cheatgrass+, LACE"
FRD0900040,,Invasives: Cheatgrass+
FRD0900041,,Invasives: LACE-
FRD0900042,,"Invasives: LACE-, cheatgrass-"
FRD0900043,,Invasives: LACE -
FRD0900044,,
FRD0900045,nf,Invasives: thistle-.  Plot shifted 15 m south to avoid cliff face. Jumble of rocks. No logging.
FRD0900046,nf,"Invasives: LACE, Thistle, Cheatgrass.  Large rocks"
FRD0900047,,Ferns and Mountain lupine present.
FRD0900048,m,Heavy slash. Fern present
FRD0900049,,Fern present.
FRD0900050,,Invasives: LACE. Dry rock granite face.
FRD0900051,,"Invasives: Thistle, LACE. Whole area logged slash - 20%. No exisitng trees"
FRD0900052,,Invasives: LACE. No existing trees.
FRD0900053,,covered in morning glory. No existing live trees.
FRD0900054,,no exisitng live trees
FRD0900055,,Shifted plot 5m to the west. Original plot center against large rock outcrop.
FRD0900056,,
FRD0900057,,Logging in area.
FRD0900058,,"130m southwest of plot 58, near stream w approx 100 conifer regen."
FRD0900059,,Invasives: Cheatgrass-
FRD0900060,,
FRD0900061,,Invasives: thistle -
FRD0900062,,
FRD0900063,,
FRD0900064,,Invasives: Thistle +. 2+ meters of CEIN. Plot between 2 streambeds.
FRD0900065,m,Heavy Logged area. Heavy slash present
FRD0900066,,Invasives: cheatgrass -. Moved 10m south to avoid large outcrop.
FRD0900067,,Invasives: LOCR+
FRD0900068,nf,Invasives: LACE-. Entire plot is a pile of rocks covered with unknown vine. Plot on the bank of a creek. Alnus incana
FRD0900069,nf,"Invasives: LOCR+, Thistle -. Plot on side of cliff."
FRD0900070,,"Invasives: LACE, Thislte, Cheatgrass. Dominant forb is LOCR. Plot is in slight concave draw."
FRD0900071,m,"Invasives: Thistle - , Cheatgrass +. Lightly logged"
FRD0900072,,Terracedslope -- water catchments. No existing trees
FRD0900073,,"Invasives: Thistle, LACE. No seed source. No existing trees."
FRD0900074,,"Invasives: LACE, Thistle+. Lupine present. Deep soil. No granite outcropping. No existing trees left."
FRD0900075,,
FRD0900076,,
FRD0900077,nf,plot next to stream. Lots of sedges. No exisitng live conifers
FRD0900078,m,Invasives: cheatgrass +. Heavy slash. No existing live conifers
FRD0900079,,
FRD0900080,,"Invasives: cheatgrass, LACE, Thistle"
FRD0900081,,"invasives: Cheatgrass, dogstail -"
FRD0900082,,
FRD0900083,,
FRD0900084,,Invasives: Cheatgrass -
FRD0900085,,
FRD0900086,,"Sedges+, rushes+. In streambed. 10% alder cover"
FRD0900087,m,Concave slope. Logging occurred. Low slash. Large PILA stump.
FRD0900088,m,Area logged. Medium slash.
FRD0900089,,"Invasives: thistle +, LACE +. Quarter of plot taken up by boulder. LOCR 20%. No exisitng live conifers."
FRD0900090,,"Invasives: Cheatgrass+, Thistle-"
FRD0900091,,LOCR present .5%
FRD0900092,,"Cheatgrass & thistle present. LOCR +, Ferns present, riparian corridor, large boulders"
FRD0900093,,Heavy regeneration west of plot. Heavy pine cones
FRD0900094,m,"Invasives: Cheatgrass +, LACE +. Some ditches made in area. Heavily logged/ slash gone. No existing trees"
FRD0900095,,"Invasives: LACE, Thistle. Distance to nearest seed source too great."
FRD0900096,,Invasives: Cheatgrass. Distance to neares seed source too great for measurement. No existing trees.
FRD0900097,,"Invasives: cheatgrass+, LACE-"
FRD0900098,,"Invasives: Cheatgrass +, Thistle -, LACE -. No existing live conifers."
FRD0900099,m,Covered in CEIN. Heavy slash underneath (litter under everything). Heavy woody litter on top. No existing live conifers
FRD0900100,,"Invasives: thistle+. Heavy slash, logged area. Essentially full veg cover. No existing live conifers in area. Photo from middle"
FRD0900101,,Invasives: Cheatgrass+. 12ft boulder next to plot center.
FRD0900102,,Cheatgrass near plot but not in it.
FRD0900103,,
FRD0900104,,
FRD0900105,,QUKE resprouts have over 20 trunks each.
FRD0900106,,Invasives: Cheatgrass
FRD0900107,,Invasives: cheatgrass-
FRD0900108,,"Invasives: thistle -, wet area."
FRD0900109,,"Invasives: Cheatgrass, thistle, LACE."
FRD0900110,,Many cedars. Next to small stream.
FRD0900111,,
FRD0900115,,Lupine .5%
FRD0900117,m,Invasives: Cheatgrass-. Heavy slash from logging.
FRD0900118,,"Invasives: Thistle-, Cheatgrass-. Not logged."
FRD0900119,,Invasives: Cheatgrass+. Ferns ++. Near a stream.
FRD0900120,,Riparian zone. 2% cover of horsetail
FRD0900121,,
FRD0900122,,surviving PIPO has heavy beetle infestation.
FRD0900123,,
FRD0900124,,Invasives: Cheatgrass+
FRD0900125,,Invasives: Cheatgrass+
FRD0900126,,Exposed area. No shade. Heavy PIPO cone load.
FRD0900128,,
FRD0900129,,Invasives: Cheatgrass+
FRD0900130,,surviving oaks has laso resprouted. Multiple trunks of survivors measured separately.
FRD0900131,,
FRD0900132,,"Invasives: Thistle, LACE, Cheatgrass. Large fallen tree in plot. Stand: 7 small dead CADE, 2 dead QUKE, 1 dead QUCH"
FRD0900133,,
FRD0900134,,Invasives: dogtails 10%. LOCR in plot. Fallen small Pipo in plot.
FRD0900135,,
FRD1100024,,"Thinned, many years ago."
FRD1100025,,
FRD1100182,,Edge of burn.  Moved 20m off the road
FRD1100183,m,"Heavy slash, highly managed, moved plot 20m."
FRD1100184,m,Highly managed area.
FRD1100197,,
FRD1100202,m,Highly managed area - salvaged.  Tractor tracks evident.
FRD1100203,m,Heavily managed
FRD1100205,m,"Edge of clearing.  Highly managed, moved plot 70m."
FRD1100213,m,Logging in last few years.
FRD1100216,,"Lots of shade, no young seedlings."
FRD1200022,m,"BAF 5.  Revisit, however unable to locate flag (previous plot center).  Made a new plot center.  Appears to have been planted PIPO's."
FRD1200030,,BAF 5
FRD1200031,,BAF 10.  REVISIT
FRD1200032,,BAF 10.  REVISIT
FRD1200033,m,"BAF 5.  Managed area, salvage logging and planted.  REVISIT"
FRD1200034,,BAF 10.  REVISIT
FRD1200035,,BAF 20.  REVISIT
FRD1200047,,BAF 10.  REVISIT
FRD1200048,,BAF 10.  REVISIT
FRD1200049,,BAF 10.  REVISIT
FRD1200050,,BAF 5.  REVISIT
FRD1200056,,BAF 20
FRD1200058,,BAF 5
FRD1200060,,BAF 20.  REVISIT
FRD1200061,,BAF 10.  REVISIT
FRD1200062,,BAF 20.  REVISIT
FRD1200063,,BAF 20.  REVISIT.
FRD1200064,,"BAF 20.  SEEDLINGS APPEAR GRAZED, HARD TO TELL AGE"
FRD1200065,,BAF 5.  REVISIT.  HARDWOOD SEED SOURCES ARE RESPROUTS.
FRD1200066,,BAF 5
FRD1200067,,BAF 20
FRD1200069,,BAF 5
FRD1200070,,BAF 10.  REVISIT.
FRD1200071,,BAF 20.  REVISIT BUT COULDN'T FIND PLOT CENTER (FLAG).  ESTABLISHED A NEW PLOT CENTER.
FRD1200079,,BAF 5.  REVISIT.
FRD1200080,,BAF 5.  REVISIT
FRD1200082,,BAF 10.  REVISIT
FRD1200083,,BAF 20.  REVISIT.
FRD1200084,,BAF 5.  REVISIT
FRD1200085,,BAF 20.  REVISIT
FRD1200090,,BAF 10.  REVISIT.  Belt from FRD108:  17 PIPO & 1 PSME saplings; 11.3 radius: 6 PIPO saplings
FRD1200092,,"BAF 20.  REVISIT.      200 belt from frd 138: 5 PIPO saplings, 11.3 radius 2 PIPO samplings and 1 ALIN sapling         no flag - made a new plot center"
FRD1200093,,"BAF 20.  REVISIT.     Belt from 111  14 PIPO sapling,  11.3 radius  1 sapling"
FRD1200099,,BAF 20.  REVISIT
FRD1200102,,"BAF 5.  Revisit, but did not find the old flag, established a new plot center."
FRD1200103,,BAF 20.  REVISIT
FRD1200104,,BAF 20.  REVISIT.  50% of the plot on western portion is on a steep canyon.
FRD1200105,,BAF 10.  REVISIT
FRD1200106,,BAF 5.  REVISIT
FRD1200107,,"BAF 5.  REVISIT.  Hardwood seedsources are resprouts over 3 m tall.   Did not find plot center, established a new one."
FRD1200108,,BAF 5
FRD1200109,,BAF 10.  REVISIT
FRD1200111,,BAF 10
FRD1200117,,"BAF 20.  REVISIT.     Lots of resprouted hardswoods in the area,  but no old seed sources."
FRD1200123,,BAF 5.  REVISIT
FRD1200124,,REVISIT
FRD1200125,,REVISIT
FRD1200126,,BAF 10.  REVISIT
FRD1200130,,BAF 5.  REVISIT
FRD1200133,,BAF 20
FRD1200134,,BAF 10.  REVISIT
FRD1200135,,REVISIT
FRD1200140,,BAF 10
FRD1200183,,REVISIT
FRD1200185,,BAF 10.  REVISIT
FRD1200229,,BAF 20.  REVISIT
FRD1200268,,BAF 10.  REVISIT
FRD1200269,,BAF 20.  REVISIT
FRD1200270,,BAF 20.  REVISIT
FRD1200271,,BAF 20.  REVISIT
FRD1200302,,BAF 5.  REVISIT
FRN1200002,,BAF 5
FRN1200007,,PHOTO IS TAKEN FROM THE EAST.
FRN1200008,,BAF 20
FRN1200013,,BAF 20
FRN1200014,,BAF 20
FRN1200015,,BAF 5.  GROUND COVER NOT RECORDED.
FRN1200016,,BAF 20
FRN1200017,,BAF 10.  PLOT IN A DRY CREEK BED.
FRN1200018,,BAF 20
FRN1200019,,BAF 20
FRN1200024,,BAF 10
FRN1200025,,BAF 5
FRN1200026,,BAF 10
FRN1200027,,BAF 20
